timestamp,rr,sr,cnt,mrt,tc
1615017000,99.89,98.44,18,59.53,ServiceTest1
1615017060,99.01,97.21,17,66.06,ServiceTest1
1615017120,98.23,97.36,19,55.49,ServiceTest1
1615017180,100.31,98.85,16,69.43,ServiceTest1
1615017240,100.05,98.65,19,64.81,ServiceTest1
1615017300,100.34,99.0,19,67.44,ServiceTest1
1615017360,100.15,97.75,17,59.78,ServiceTest1
1615017420,101.51,97.12,17,62.79,ServiceTest1
1615017480,99.66,98.32,16,68.12,ServiceTest1
1615017540,100.56,97.45,18,51.87,ServiceTest1
1615017600,98.35,97.28,16,67.86,ServiceTest1
1615017660,101.15,98.19,17,50.67,ServiceTest1
1615017720,98.47,97.94,15,60.71,ServiceTest1
1615017780,99.57,98.04,16,67.81,ServiceTest1
1615017840,99.63,97.18,16,64.68,ServiceTest1
1615017900,100.87,97.7,15,69.31,ServiceTest1
1615017960,99.01,98.68,16,53.96,ServiceTest1
1615018020,99.96,97.03,15,66.25,ServiceTest1
1615018080,101.83,97.72,16,67.8,ServiceTest1
1615018140,100.06,97.75,20,67.88,ServiceTest1
1615018200,101.56,98.46,19,50.7,ServiceTest1
1615018260,101.85,98.42,19,55.55,ServiceTest1
1615018320,99.28,97.88,15,55.2,ServiceTest1
1615018380,99.15,98.26,16,65.43,ServiceTest1
1615018440,101.76,98.48,17,57.85,ServiceTest1
1615018500,101.35,97.3,19,65.08,ServiceTest1
1615018560,101.21,97.72,19,51.44,ServiceTest1
1615018620,101.36,98.62,18,50.61,ServiceTest1
1615018680,99.82,98.37,19,59.09,ServiceTest1
1615018740,98.82,97.03,20,64.44,ServiceTest1
1615018800,99.9,98.64,15,52.18,ServiceTest1
1615018860,101.14,97.93,15,67.78,ServiceTest1
1615018920,100.9,97.11,17,58.0,ServiceTest1
1615018980,101.21,97.08,15,54.81,ServiceTest1
1615019040,98.01,98.7,18,66.43,ServiceTest1
1615019100,100.18,97.71,15,64.6,ServiceTest1
1615019160,100.93,98.59,20,66.74,ServiceTest1
1615019220,101.98,98.51,16,54.99,ServiceTest1
1615019280,100.15,98.88,17,68.28,ServiceTest1
1615019340,99.04,98.93,18,61.82,ServiceTest1
1615019400,100.91,97.19,20,56.85,ServiceTest1
1615019460,100.28,97.45,15,50.3,ServiceTest1
1615019520,100.57,97.94,20,51.01,ServiceTest1
1615019580,98.89,98.49,18,67.4,ServiceTest1
1615019640,101.94,97.96,16,50.22,ServiceTest1
